level,question_id,question_text,question_code,question_type,difficulty,correct_answer,explanation,all_options,all_options_text,option_a_label,option_a_text,option_a_wrong_count,option_b_label,option_b_text,option_b_wrong_count,option_c_label,option_c_text,option_c_wrong_count,option_d_label,option_d_text,option_d_wrong_count,wrong_count,total_attempts,correct_count,wrong_rate,correct_rate,rank_in_level,most_wrong_option_value,most_wrong_option_label,most_wrong_option_text,most_wrong_option_count
1,1213,下面C++代码用于记录多个输入数中的最大数和最小数（输入 -999 则输入结束），相关说法错误的是（    ）。,"cin >> now_num;
min_num = max_num = now_num;

while (now_num != -999){
    if (max_num < now_num)
        max_num = now_num;

    if (min_num > now_num)
        min_num = now_num;

    cin >> now_num;
}
cout << min_num << ' ' << max_num;",code,hard,D,D选项错误，因为如果把cin >> now_num移到while内部开头，会导致第一次输入未读取就进入循环，逻辑错误。,A: 程序运行时如果第一个数输入 -999，则输出将是-999 -999 (错误107次); B: 程序输入过程中，如果输入的第一个数不是 -999，则如果待输入的数据中没有 -999，则程序能求出已输入整数中的最大数和最小数 (错误176次); C: 如果用于输入考试成绩，即成绩中不可能有 -999，则程序能求出已输入成绩中的最高成绩和最低成绩 (错误280次); D: 可以将cin >> now_num;移动到while (now_num != -999) {下面，结果不变 (错误0次),A: 程序运行时如果第一个数输入 -999，则输出将是-999 -999; B: 程序输入过程中，如果输入的第一个数不是 -999，则如果待输入的数据中没有 -999，则程序能求出已输入整数中的最大数和最小数; C: 如果用于输入考试成绩，即成绩中不可能有 -999，则程序能求出已输入成绩中的最高成绩和最低成绩; D: 可以将cin >> now_num;移动到while (now_num != -999) {下面，结果不变,A,程序运行时如果第一个数输入 -999，则输出将是-999 -999,107,B,程序输入过程中，如果输入的第一个数不是 -999，则如果待输入的数据中没有 -999，则程序能求出已输入整数中的最大数和最小数,176,C,如果用于输入考试成绩，即成绩中不可能有 -999，则程序能求出已输入成绩中的最高成绩和最低成绩,280,D,可以将cin >> now_num;移动到while (now_num != -999) {下面，结果不变,0,563,823,260,68.41,31.59,1,C,C,如果用于输入考试成绩，即成绩中不可能有 -999，则程序能求出已输入成绩中的最高成绩和最低成绩,280
1,1211,下面C++代码用于获得正整数N的第M位数，约定个位数为第1位，如N等于1234，M等于2，则输出3。假设M的值是大于等于1且小于等于N的位数。横线处应填入的代码是(  )。,"int N, M, div=1;
cout << ""请输入一个正整数："";
cin >> N;
cout <<""请输入从右到左取第几位数："";
cin >> M;

for (int i = 0; i < (M - 1); i++) div *= 10;

cout << (______________);",code,hard,D,要获取第M位数字，先构造div=10^(M-1)，然后用(N / div) % 10即可得到该位数字。,A: N % div / 10 (错误197次); B: N / div / 10 (错误165次); C: N % div % 10 (错误134次); D: N / div % 10 (错误0次),A: N % div / 10; B: N / div / 10; C: N % div % 10; D: N / div % 10,A,N % div / 10,197,B,N / div / 10,165,C,N % div % 10,134,D,N / div % 10,0,496,823,327,60.27,39.73,2,A,A,N % div / 10,197
1,1208,下面C++代码执行后输出是（    ）。,"int i;
for(i = 1; i < 5; i++){
    if(i % 3 == 0)
        break;
    printf(""%d#"",i);
}
if(i > 5) printf(""END\n"");",code,medium,A,i=1时输出1#，i=2时输出2#，i=3时触发break退出循环。此时i=3，不满足i>5，不会输出END。最终输出1#2#。,A: 1#2# (错误0次); B: 1#2#END (错误158次); C: 1#2 (错误144次); D: 1#2#3#4#END (错误114次),A: 1#2#; B: 1#2#END; C: 1#2; D: 1#2#3#4#END,A,1#2#,0,B,1#2#END,158,C,1#2,144,D,1#2#3#4#END,114,416,823,407,50.55,49.45,3,B,B,1#2#END,158
1,1205,当前是9月，编写C++代码求N个月后的月份。横线处应填入的代码是（    ）。,"int N, M;
cin >> N;
M = _____________;
if (M == 0)
    printf(""%d个月后12月"", N);
else
    printf(""%d个月后是%d月"", N, M);",code,medium,D,当前是9月，N个月后是(9+N)个月，对12取模可得到对应月份。若结果为0则表示12月。因此应填(9 + N) % 12。,A: N % 12 (错误105次); B: 9 + N % 12 (错误157次); C: (9 + N) / 12 (错误143次); D: (9 + N) % 12 (错误0次),A: N % 12; B: 9 + N % 12; C: (9 + N) / 12; D: (9 + N) % 12,A,N % 12,105,B,9 + N % 12,157,C,(9 + N) / 12,143,D,(9 + N) % 12,0,405,823,418,49.21,50.79,4,B,B,9 + N % 12,157
1,1212,下面C++代码执行后输出是（     ）。,"num = 0;
while (num <= 5){
    num += 1;
    if (num == 3)
        continue;
    printf(""%d#"", num);
}",code,medium,A,num从1到6，当num==3时跳过输出，其余都输出。输出序列：1#2#4#5#6#。,A: 1#2#4#5#6# (错误0次); B: 1#2#4#5#6 (错误175次); C: 1#2#3#4#5#6# (错误155次); D: 1#2#3#4#5#6 (错误74次),A: 1#2#4#5#6#; B: 1#2#4#5#6; C: 1#2#3#4#5#6#; D: 1#2#3#4#5#6,A,1#2#4#5#6#,0,B,1#2#4#5#6,175,C,1#2#3#4#5#6#,155,D,1#2#3#4#5#6,74,404,823,419,49.09,50.91,5,B,B,1#2#4#5#6,175
1,1209,下面的C++代码用于求N的镜面数（N的个位到最高位的各位数字依次反过来出现在数字中，但高位0将被忽略，不输出），如输入1234，则将输出4321，又如输入120，则将输出21，错误的选项是（    ）。,"cout << ""请输入个位数不为0的正整数："";
cin >> N;
rst = 0; // 保存逆序结果
while (______________){
    rst = rst * 10 + N % 10;
    N  = N / 10;
}
cout << rst << endl;",code,hard,C,C选项N=0是赋值操作，永远为true，会导致无限循环。其他选项都是判断N是否非零，正确。,A: N != 0 (错误170次); B: not (N == 0) (错误105次); C: N = 0 (错误0次); D: N > 0 (错误116次),A: N != 0; B: not (N == 0); C: N = 0; D: N > 0,A,N != 0,170,B,not (N == 0),105,C,N = 0,0,D,N > 0,116,391,823,432,47.51,52.49,6,A,A,N != 0,170
1,1202,下列C++代码中a和b都是整型变量，执行后，其结果是(  )。,"a = 13;
b = 5;
cout << a / b << a %// b << a % b;
a*b;",code,medium,C,C是正确答案,A: 2 3 (错误48次); B: 23 (错误79次); C: 20 (错误0次); D: 以上都不准确 (错误261次),A: 2 3; B: 23; C: 20; D: 以上都不准确,A,2 3,48,B,23,79,C,20,0,D,以上都不准确,261,388,823,435,47.14,52.86,7,D,D,以上都不准确,261
1,1218,将下面C++代码中的 L1 行的i = 0修改为i = 1， 其输出与当前代码输出相同。（  ）,"cnt = 0;
for (int i = 0; i < 100; i++) // L1
    cnt += i;
cout << cnt",code,medium,A,将L1行的i = 0改为i = 1后，循环从i=1开始，求和范围变为1到99。原代码中i从0开始，0对累加无贡献，因此两种情况下cnt累加的值均为1+2+...+99，结果相同。输出一致，故A正确。,A: 正确 (错误0次); B: 错误 (错误383次),A: 正确; B: 错误,A,正确,0,B,错误,383,,,0,,,0,383,823,440,46.54,53.46,8,B,B,错误,383
1,1204,下面的C++代码中变量N和M都是整型，则执行时如果先输入10并输入一个制表符后输入20并回车，其输出的数值是(  )。,"scanf(""%d"", &N);
scanf(""%d"", &M);
printf(""{%d}"",N+M);",code,easy,A,scanf会自动跳过空白字符（包括制表符和空格），所以能正确读取10和20，N+M=30，输出{30}。,A: {30} (错误0次); B: 1020 (错误107次); C: {N+M} (错误157次); D: 不输出，继续等待输入 (错误110次),A: {30}; B: 1020; C: {N+M}; D: 不输出，继续等待输入,A,{30},0,B,1020,107,C,{N+M},157,D,不输出，继续等待输入,110,374,823,449,45.44,54.56,9,C,C,{N+M},157
1,1357,下面C++代码执行后输出是（    ）。,"int Sum = 0, i = 0;
for (; i < 10; )
    Sum += i++;
cout << i << "" "" << Sum;",code,medium,C,"循环从i=0开始，每次执行Sum += i++，即先使用i再自增。共执行10次（i=0到9），Sum=0+1+...+9=45，i最终为10。输出""10 45""。",A: 9 45 (错误136次); B: 10 55 (错误220次); C: 10 45 (错误0次); D: 11 55 (错误14次),A: 9 45; B: 10 55; C: 10 45; D: 11 55,A,9 45,136,B,10 55,220,C,10 45,0,D,11 55,14,370,773,403,47.87,52.13,10,B,B,10 55,220
1,1360,如果一个整数N能够表示为 X*X 的形式，那么它就是一个完全平方数，下面C++代码用于完成判断N是否为一个完全平方数，在横线处应填入的代码是（    ）。,"int N;

cin >> N;
for(int i = 0; i <= N; i++)
    if(___________________)
        cout << N << ""是一个完全平方数\n"";",code,medium,D,要判断N是否为完全平方数，需要检查是否存在i使得i*i==N。因此填入i*i == N。,A: i == N*N (错误138次); B: i*10 == N (错误111次); C: i+i == N (错误110次); D: i*i == N (错误0次),A: i == N*N; B: i*10 == N; C: i+i == N; D: i*i == N,A,i == N*N,138,B,i*10 == N,111,C,i+i == N,110,D,i*i == N,0,359,773,414,46.44,53.56,11,A,A,i == N*N,138
1,1210,下面C++代码用于交换两个正整数a和b的值，不能实现交换的代码是（    ）。,"cout << ""输入第一个正整数: "";
cin >> a;
cout <<""输入第二个正整数: "";
cin >> b;
temp = a;
a = b;
b = temp;
cout << ""a="" << a << "" b="" << b << endl;",code,medium,D,"D选项中'a, b = b, a;'是Python语法，在C++中无效，无法编译。","A: 使用临时变量temp进行交换 (错误93次); B: 使用减法实现交换 (错误97次); C: 使用加减法实现交换 (错误157次); D: a, b = b, a; (错误0次)","A: 使用临时变量temp进行交换; B: 使用减法实现交换; C: 使用加减法实现交换; D: a, b = b, a;",A,使用临时变量temp进行交换,93,B,使用减法实现交换,97,C,使用加减法实现交换,157,D,"a, b = b, a;",0,347,823,476,42.16,57.84,12,C,C,使用加减法实现交换,157
1,1206,下面C++代码执行后的输出是（ ）。,"int n = 0;
for (int i = 0; i < 100; i++)
    n += i % 2;
cout << n;",code,medium,C,i % 2 在i为奇数时返回1，偶数时返回0。0到99中共有50个奇数，所以n累加了50次1，结果为50。,A: 5050 (错误102次); B: 4950 (错误147次); C: 50 (错误0次); D: 49 (错误96次),A: 5050; B: 4950; C: 50; D: 49,A,5050,102,B,4950,147,C,50,0,D,49,96,345,823,478,41.92,58.08,13,B,B,4950,147
