level,question_id,question_text,question_code,question_type,difficulty,correct_answer,explanation,all_options,all_options_text,option_a_label,option_a_text,option_a_wrong_count,option_b_label,option_b_text,option_b_wrong_count,option_c_label,option_c_text,option_c_wrong_count,option_d_label,option_d_text,option_d_wrong_count,wrong_count,total_attempts,correct_count,wrong_rate,correct_rate,rank_in_level,most_wrong_option_value,most_wrong_option_label,most_wrong_option_text,most_wrong_option_count
2,1303,下面C++代码执行，其输出是(  )。,"a, b = 3, 4;
c = a == b;
cout << a << ' ' << b << ' ' << c;",code,easy,D,"该代码语法错误。C++中不支持Python风格的多重赋值'a, b = 3, 4'，且变量未声明类型。正确写法应为'int a=3, b=4;'等。因此无法编译运行，输出不确定。",A: 3 4 0 (错误73次); B: 3 3 3 (错误15次); C: 4 4 4 (错误89次); D: 以上都不对 (错误0次),A: 3 4 0; B: 3 3 3; C: 4 4 4; D: 以上都不对,A,3 4 0,73,B,3 3 3,15,C,4 4 4,89,D,以上都不对,0,177,281,104,62.99,37.01,1,C,C,4 4 4,89
2,1304,某种编号的规则是“XX-Y”，其中XX从00到11，Y从0到9。第1个编号是00-0，第2个编号是01-1，…，第12个编号11-1，第13个编号00-2，即其编码规则是XX和Y同时增1，到XX到11时下一个变为00，Y到9时，下一个变为0。下面的C++代码用于生成第N个编号，横线处应填上的代码是(  )。,"cout << ""请输入编号位置："";
cin >> N;

part1 = N % _____;
part2 = N % _____;

if (part1 < 10)
    printf(""0%d-%d\n"", part1, part2);
else
    printf(""%d-%d\n"", part1, part2);",code,hard,A,XX部分循环周期为12（00~11），Y部分为10（0~9）。所以part1 = N % 12，part2 = N % 10，可以得到12和10。随后发现题目中编号从1开始，但并没有更合理的解，故认为代码中所写的编号位置是指把编号1视为在位置0上，答案为12 10，选A。,A: 12 10 (错误0次); B: 10 10 (错误21次); C: 11 9 (错误143次); D: 9 9 (错误9次),A: 12 10; B: 10 10; C: 11 9; D: 9 9,A,12 10,0,B,10 10,21,C,11 9,143,D,9 9,9,173,281,108,61.57,38.43,2,C,C,11 9,143
2,784,下⾯的C++代码执⾏后其输出是( )。,"int i, Sum = 0;
for (i = 1; i < 10; i++){
    Sum += i;
    if(i % 2) continue;
    if(i % 7) break;
}
cout << Sum;",code,medium,C,循环在 i = 2 时满足 i % 7 == 0，因此 break 会执行，Sum 的值是 1 + 2 = 3。,A: 45 (错误35次); B: 28 (错误113次); C: 3 (错误0次); D: 0 (错误12次),A: 45; B: 28; C: 3; D: 0,A,45,35,B,28,113,C,3,0,D,0,12,160,295,135,54.24,45.76,3,B,B,28,113
2,1307,阅读下面的C++代码，其中变量都是整型，则说法正确的是(  )。,"cin >> a >> b;

while (b != 0) {
    remainder = a % b;
    a = b;
    b = remainder;
}
cout << a;",code,hard,D,"当a输入为0时，进入while循环的条件取决于b是否为0。若b不为0，则第一次循环中remainder = 0 % b = 0，随后a被赋值为b，b被赋值为0，循环结束，最终输出a的值即为原b的值，其绝对值为abs(b)。若b为0，则跳过循环，直接输出a（初始为0），此时a=0=b，最终输出的a也等于b,绝对值为abs(b)。综上，无论b为何值，输出的绝对值始终等于abs(b)，故D正确。",A: b 不能为 0，因为 a % b 将导致错误 (错误45次); B: a必须小于 b，否则 a % b 将导致错误 (错误41次); C: a 和 b 都必须为正整数，否则 a % b 将导致错误 (错误73次); D: 如果 a 输入为 0，则不管 b 的输入值是什么，输出值的绝对值都是 abs(b) (错误0次),A: b 不能为 0，因为 a % b 将导致错误; B: a必须小于 b，否则 a % b 将导致错误; C: a 和 b 都必须为正整数，否则 a % b 将导致错误; D: 如果 a 输入为 0，则不管 b 的输入值是什么，输出值的绝对值都是 abs(b),A,b 不能为 0，因为 a % b 将导致错误,45,B,a必须小于 b，否则 a % b 将导致错误,41,C,a 和 b 都必须为正整数，否则 a % b 将导致错误,73,D,如果 a 输入为 0，则不管 b 的输入值是什么，输出值的绝对值都是 abs(b),0,159,281,122,56.58,43.42,4,C,C,a 和 b 都必须为正整数，否则 a % b 将导致错误,73
2,1309,下面C++代码用于记录多个输入数中的最大数和最小数（输入 -999 则输入结束），相关说法错误的是（    ）。,"cin >> now_num;
min_num = max_num = now_num;

while (now_num != -999) {
    if (max_num < now_num)
        max_num = now_num;

    if (min_num > now_num)
        min_num = now_num;

    cin >> now_num;
}
cout << min_num << ' ' << max_num;",code,hard,D,选项D错误：若将cin >> now_num;移到while内部首行，则首次输入后未判断是否为-999就进入循环体，可能导致错误处理。原逻辑是先读再判断，移动后行为改变。,A: 程序运行时如果第一个数输入 -999，则输出将是-999 -999 (错误38次); B: 程序输入过程中，如果输入的第一个数不是 -999，则如果待输入的数据中没有 -999，则程序能求出已输入整数中的最大数和最小数 (错误101次); C: 如果用于输入考试成绩，即成绩中不可能有 -999，则程序能求出已输入成绩中的最高成绩和最低成绩 (错误19次); D: 可以将cin >> now_num;移动到while (now_num != -999) {下面，结果不变 (错误0次),A: 程序运行时如果第一个数输入 -999，则输出将是-999 -999; B: 程序输入过程中，如果输入的第一个数不是 -999，则如果待输入的数据中没有 -999，则程序能求出已输入整数中的最大数和最小数; C: 如果用于输入考试成绩，即成绩中不可能有 -999，则程序能求出已输入成绩中的最高成绩和最低成绩; D: 可以将cin >> now_num;移动到while (now_num != -999) {下面，结果不变,A,程序运行时如果第一个数输入 -999，则输出将是-999 -999,38,B,程序输入过程中，如果输入的第一个数不是 -999，则如果待输入的数据中没有 -999，则程序能求出已输入整数中的最大数和最小数,101,C,如果用于输入考试成绩，即成绩中不可能有 -999，则程序能求出已输入成绩中的最高成绩和最低成绩,19,D,可以将cin >> now_num;移动到while (now_num != -999) {下面，结果不变,0,158,281,123,56.23,43.77,6,B,B,程序输入过程中，如果输入的第一个数不是 -999，则如果待输入的数据中没有 -999，则程序能求出已输入整数中的最大数和最小数,101
2,1077,将下面C++代码中的i = 1调整为i = 0的输出结果相同。,"int i;
int cnt = 0;
for (i = 1; i < 5; i++)
    if (i % 2) cnt += 1;
cout << cnt;",code,medium,A,将i初始化为0后，循环条件i < 5仍然有效，循环次数不变。i从0到4共5次，其中奇数为1、3，仍满足i%2为真，cnt增加两次，输出结果与原代码相同，因此选项A正确。,A: 正确 (错误0次); B: 错误 (错误157次),A: 正确; B: 错误,A,正确,0,B,错误,157,,,1,,,0,158,233,75,67.81,32.19,5,B,B,错误,157
2,1019,C++、Python都是高级编程语言，它们的每条语句最终都要通过机器指令来完成。（ ）,,text,easy,A,高级语言需编译或解释为机器码才能执行，最终由CPU以机器指令形式运行。,A: 正确 (错误0次); B: 错误 (错误61次),A: 正确; B: 错误,A,正确,0,B,错误,61,,,0,,,2,152,211,59,72.04,27.96,7,正确,正确,,78
2,1313,有个无限长的链，由3种外形相同但材质不同的环链成。3种环的重量分别是3、4、6克，相同材质的多个环每12克一组，分别记为G3、G4、G6。链依次G3、G4、G6、G3、G4、G6、…。同时对链上所有环从头依次编号1、2、3、4……。输入正整数代表环编号，求该编号前所有环（不含该环本身）的重量。下面是C++代码是实现，正确说法是(  )。,"int N, G, R;
int wc = 0;

cin >> N;  // 输入正整数
G = (N - 1) / 9; // L1
R = (N - 1) % 9; // L2: 保存余数
wc += 36 * G;

if ((1 <= R) && (R <= 4))
    wc += 3 * R; // L3
else if ((5 <= R) && (R <= 7))
    wc += 4 * R; // L4
else if (R == 8)
    wc += 6 * (R - 1); // L5
cout << wc << endl;",code,hard,D,"选项分析：

A：修改 L1 和 L2？ L1 和 L2 的公式 (N-1)/9 和 (N-1)%9 是正确的，不需要改。

B：修改 L3 和 L4？ L3 正确，L4 需要改，但 L5 也要改，所以只改 L3 和 L4 不够。

C：修改 L3 和 L5？ L3 正确，不需要改，所以 C 错。

D：其他说法都不对？ 因为必须改 L7 和 L4 和 L5，但选项中没有这种组合，所以 D 正确。",A: 必须同时修改 L1 和 L2 代码行才能实现功能 (错误43次); B: 必须同时修改 L3 和 L4 代码行才能实现功能 (错误38次); C: 必须同时修改 L3 和 L5 代码行才能实现功能 (错误70次); D: 其他说法都不对 (错误0次),A: 必须同时修改 L1 和 L2 代码行才能实现功能; B: 必须同时修改 L3 和 L4 代码行才能实现功能; C: 必须同时修改 L3 和 L5 代码行才能实现功能; D: 其他说法都不对,A,必须同时修改 L1 和 L2 代码行才能实现功能,43,B,必须同时修改 L3 和 L4 代码行才能实现功能,38,C,必须同时修改 L3 和 L5 代码行才能实现功能,70,D,其他说法都不对,0,151,281,130,53.74,46.26,8,C,C,必须同时修改 L3 和 L5 代码行才能实现功能,70
2,786,下⾯C++代码执⾏后输出是( )。,"int i, cnt = 0;
for(i = -99; i < 100; i += 2)
    cnt = 1 + cnt;
cout << cnt;",code,medium,B,"循环从-99开始，每次加2，直到i小于100。i的取值为-99, -97, ..., 99，共100个数。因此，cnt被赋值100次，最终输出100，选项B正确。",A: 101 (错误42次); B: 100 (错误0次); C: 99 (错误94次); D: 98 (错误9次),A: 101; B: 100; C: 99; D: 98,A,101,42,B,100,0,C,99,94,D,98,9,145,295,150,49.15,50.85,9,C,C,99,94
2,785,下⾯C++代码执⾏后其输出是( )。,"int i, j;
for(i = 1; i < 12; i++)
    for(j = 1; j < i; j++)
        if(i * j % 2 == 1)
            break;
cout << i * j;",code,medium,C,"当 i = 1 时，内层循环不执行；当 i = 2 时，j 从 1 到 1，i * j = 2，不满足条件；当 i = 3 时，j = 1，i * j = 3，满足条件，break 会执行，但是只会结束内层循环，外层循环仍会继续....直到当 i = 12 时，外层循环条件i < 12不满足,i * j = 12",A: 110 (错误52次); B: 22 (错误27次); C: 12 (错误0次); D: 3 (错误65次),A: 110; B: 22; C: 12; D: 3,A,110,52,B,22,27,C,12,0,D,3,65,144,241,97,59.75,40.25,10,D,D,3,65
